text,label
"Vehicle inspection completed, no defects found",0
"vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found reported",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
"Vehicle inspection completed, no defects found",0
Driver followed all required rest periods,0
Operator followed all required rest periods,0
Driver followed all required rest periods reported,0
Driver followed all required rest periods reported,0
Driver followed all required rest periods,0
driver followed all required rest periods,0
Driver followed all required rest periods,0
driver followed all required rest periods,0
Driver followed all required rest periods reported,0
driver followed all required rest periods,0
log completed correctly with all entries,0
log completed correctly with all entries,0
Log completed correctly with all entries reported,0
log completed correctly with all entries,0
log completed correctly with all entries,0
Log completed correctly with all entries,0
Log completed correctly with all entries,0
Log completed correctly with all entries,0
Log completed correctly with all entries,0
log completed correctly with all entries,0
Fuel receipt matches recorded location,0
fuel receipt matches recorded location,0
fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location reported,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
Fuel receipt matches recorded location,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed reported,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed,0
All documents are properly signed reported,0
driver maintained legal driving hours,0
Driver maintained legal driving hours reported,0
Driver maintained legal driving hours reported,0
Driver maintained legal driving hours,0
Operator maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Driver maintained legal driving hours,0
Inspection report shows no issues reported,0
Inspection report shows no issues,0
Inspection report shows no issues reported,0
Inspection report shows no issues,0
Inspection report shows no issues reported,0
Inspection report shows no issues reported,0
Inspection report shows no issues,0
Inspection report shows no issues,0
Inspection report shows no issues,0
Inspection report shows no issues,0
Break taken according to regulations,0
Break taken according to regulations,0
break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations reported,0
Break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations,0
Break taken according to regulations,0
All logs submitted on time,0
All records submitted on time,0
All records submitted on time,0
All logs submitted on time,0
All logs submitted on time,0
all logs submitted on time,0
All logs submitted on time,0
All records submitted on time,0
all logs submitted on time,0
All records submitted on time,0
Trip completed with no violations reported,0
Trip completed with no violations,0
Trip completed with no violations reported,0
trip completed with no violations,0
trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations,0
Trip completed with no violations reported,0
Driver exceeded 11 hour driving limit reported,1
Driver exceeded 11 hour driving limit reported,1
driver exceeded 11 hour driving limit,1
Driver exceeded 11 hour driving limit,1
driver exceeded 11 hour driving limit,1
Operator exceeded 11 hour driving limit,1
Operator exceeded 11 hour driving limit,1
Driver exceeded 11 hour driving limit,1
Driver exceeded 11 hour driving limit,1
Operator exceeded 11 hour driving limit,1
Driving 12 hours without required break,1
Driving 12 hours without required break reported,1
Driving 12 hours without required break,1
Driving 12 hours without required break,1
Driving 12 hours without required break,1
Driving 12 hours without required break,1
Driving 12 hours without required break reported,1
Driving 12 hours without required break reported,1
Driving 12 hours without required break,1
driving 12 hours without required break,1
no 10 hour rest period before shift,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift reported,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift reported,1
No 10 hour rest period before shift,1
No 10 hour rest period before shift,1
no 10 hour rest period before shift,1
Driver drove beyond allowed hours reported,1
Driver drove beyond allowed hours,1
Driver drove beyond allowed hours reported,1
Operator drove beyond allowed hours,1
Driver drove beyond allowed hours,1
driver drove beyond allowed hours,1
Operator drove beyond allowed hours,1
Operator drove beyond allowed hours,1
driver drove beyond allowed hours,1
Driver drove beyond allowed hours,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit,1
Exceeded weekly driving limit,1
Exceeded weekly driving limit,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit,1
exceeded weekly driving limit,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit reported,1
Exceeded weekly driving limit,1
No 30 minute break after 8 hours reported,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours reported,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours reported,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours,1
No 30 minute break after 8 hours,1
no 30 minute break after 8 hours,1
No 30 minute break after 8 hours reported,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight reported,1
driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight reported,1
Driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight,1
Driver operated vehicle for 14 hours straight,1
Violation of hours of service regulations reported,1
Violation of hours of service regulations,1
Violation of hours of service regulations,1
Violation of hours of service regulations reported,1
Violation of hours of service regulations,1
Violation of hours of service regulations,1
violation of hours of service regulations,1
violation of hours of service regulations,1
Violation of hours of service regulations,1
violation of hours of service regulations,1
Driver continued driving after limit reached,1
driver continued driving after limit reached,1
Driver continued driving after limit reached,1
Operator continued driving after limit reached,1
Operator continued driving after limit reached,1
Driver continued driving after limit reached reported,1
Operator continued driving after limit reached,1
Operator continued driving after limit reached,1
Driver continued driving after limit reached,1
Operator continued driving after limit reached,1
insufficient rest before next shift,1
Insufficient rest before next shift reported,1
Insufficient rest before next shift reported,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift,1
Insufficient rest before next shift reported,1
Insufficient rest before next shift,1
Driver forgot to sign the record,2
driver forgot to sign the log,2
Driver forgot to sign the record,2
Driver forgot to sign the log reported,2
Driver forgot to sign the record,2
Driver forgot to sign the log,2
driver forgot to sign the log,2
Driver forgot to sign the log,2
Driver forgot to sign the log,2
Operator forgot to sign the log,2
Incorrect date entered in logbook,2
Incorrect date entered in recordbook,2
incorrect date entered in logbook,2
Incorrect date entered in logbook,2
Incorrect date entered in logbook,2
Incorrect date entered in recordbook,2
Incorrect date entered in recordbook,2
